# t  tau  phi  dphi  a  H  zppz  N
30.1 9.05437 14.8582 -0.00471168 24.0245 0.105116 12.7934 3.17908
30.2 9.05852 14.8577 -0.00471168 24.2784 0.105113 13.0644 3.18959
30.3 9.06261 14.8572 -0.00471168 24.5349 0.105109 13.3411 3.2001
30.4 9.06667 14.8568 -0.00471168 24.7942 0.105106 13.6236 3.21061
30.5 9.07068 14.8563 -0.00471168 25.0561 0.105103 13.9122 3.22112
30.6 9.07465 14.8558 -0.00471168 25.3209 0.105099 14.2068 3.23163
30.7 9.07858 14.8553 -0.00471168 25.5884 0.105096 14.5077 3.24214
30.8 9.08247 14.8549 -0.00471168 25.8587 0.105093 14.8149 3.25265
30.9 9.08631 14.8544 -0.00471168 26.1319 0.105089 15.1286 3.26316
31 9.09012 14.8539 -0.00471168 26.408 0.105086 15.449 3.27367
31.1 9.09389 14.8535 -0.00471168 26.6869 0.105083 15.7761 3.28417
31.2 9.09761 14.853 -0.00471168 26.9689 0.105079 16.1101 3.29468
31.3 9.1013 14.8525 -0.00471168 27.2537 0.105076 16.4512 3.30519
31.4 9.10495 14.852 -0.00471168 27.5416 0.105073 16.7996 3.3157
31.5 9.10856 14.8516 -0.00471168 27.8325 0.105069 17.1552 3.32621
31.6 9.11214 14.8511 -0.00471168 28.1265 0.105066 17.5184 3.33671
31.7 9.11567 14.8506 -0.00471168 28.4236 0.105063 17.8893 3.34722
31.8 9.11917 14.8502 -0.00471168 28.7237 0.105059 18.268 3.35772
31.9 9.12264 14.8497 -0.00471168 29.0271 0.105056 18.6548 3.36823
32 9.12606 14.8492 -0.00471168 29.3337 0.105053 19.0496 3.37874
32.1 9.12946 14.8487 -0.00471168 29.6434 0.105049 19.4529 3.38924
32.2 9.13281 14.8483 -0.00471168 29.9565 0.105046 19.8647 3.39975
32.3 9.13613 14.8478 -0.00471168 30.2728 0.105043 20.2851 3.41025
32.4 9.13942 14.8473 -0.00471168 30.5925 0.105039 20.7145 3.42075
32.5 9.14267 14.8469 -0.00471168 30.9155 0.105036 21.1529 3.43126
32.6 9.14589 14.8464 -0.00471168 31.2419 0.105033 21.6006 3.44176
32.7 9.14907 14.8459 -0.00471168 31.5718 0.105029 22.0577 3.45226
32.8 9.15222 14.8454 -0.00471168 31.9051 0.105026 22.5246 3.46277
32.9 9.15534 14.845 -0.00471168 32.242 0.105023 23.0012 3.47327
33 9.15843 14.8445 -0.00471168 32.5824 0.105019 23.488 3.48377
33.1 9.16148 14.844 -0.00471168 32.9264 0.105016 23.985 3.49427
33.2 9.1645 14.8436 -0.00471168 33.2739 0.105013 24.4925 3.50477
33.3 9.16749 14.8431 -0.00471168 33.6252 0.105009 25.0108 3.51528
33.4 9.17045 14.8426 -0.00471168 33.9802 0.105006 25.54 3.52578
33.5 9.17338 14.8422 -0.00471168 34.3388 0.105003 26.0804 3.53628
33.6 9.17627 14.8417 -0.00471168 34.7013 0.104999 26.6322 3.54678
33.7 9.17914 14.8412 -0.00471168 35.0676 0.104996 27.1956 3.55728
33.8 9.18198 14.8407 -0.00471168 35.4377 0.104993 27.771 3.56778
33.9 9.18478 14.8403 -0.00471168 35.8117 0.104989 28.3585 3.57828
34 9.18756 14.8398 -0.00471168 36.1897 0.104986 28.9584 3.58877
